Date,Global_UID,Indicator,Value,Error,Unit,Note
2018-02-01,G1-U01,BOD,1.1,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U01,COD,8.0,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U01,NH3-N,1.81,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U01,TN,5.06,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U01,TP,0.11,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U02,BOD,1.4,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U02,COD,9.0,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U02,NH3-N,0.199,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U02,TN,4.64,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U02,TP,0.13,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U03,BOD,1.6,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U03,COD,10.0,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U03,NH3-N,0.088,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U03,TN,5.06,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U03,TP,0.15,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U04,BOD,1.5,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U04,COD,7.0,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U04,NH3-N,0.228,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U04,TN,4.6,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U04,TP,0.06,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U05,BOD,0.8,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U05,COD,7.0,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U05,NH3-N,0.037,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U05,TN,4.19,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U05,TP,0.05,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U06,BOD,0.9,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U06,COD,8.0,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U06,NH3-N,0.164,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U06,TN,4.5,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U06,TP,0.09,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U07,BOD,0.5,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U07,COD,6.0,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U07,NH3-N,0.035,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U07,TN,4.56,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U07,TP,0.05,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U08,BOD,1.2,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U08,COD,9.0,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U08,NH3-N,0.043,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U08,TN,1.87,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U08,TP,0.02,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U09,BOD,1.1,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U09,COD,8.0,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U09,NH3-N,0.059,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U09,TN,4.1,,mg/L,常贺星硕士论文数据
2018-02-01,G1-U09,TP,0.03,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U01,BOD,1.9,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U01,COD,10.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U01,NH3-N,2.66,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U01,TN,6.67,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U01,TP,0.2,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,BOD,3.2,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,BOD,1.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,COD,16.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,COD,12.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,NH3-N,2.87,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,NH3-N,2.45,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,TN,8.59,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,TN,6.84,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,TP,0.17,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U02,TP,0.13,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U03,BOD,3.2,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U03,BOD,2.4,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U03,COD,9.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U03,COD,12.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U03,NH3-N,2.84,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U03,NH3-N,2.95,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U03,TN,6.86,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U03,TN,8.82,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U03,TP,0.13,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U03,TP,0.13,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U04,BOD,2.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U04,BOD,3.3,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U04,COD,8.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U04,COD,7.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U04,NH3-N,2.41,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U04,NH3-N,2.42,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U04,TN,7.58,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U04,TN,7.29,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U04,TP,0.14,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U04,TP,0.14,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U06,BOD,2.8,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U06,BOD,2.4,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U06,COD,12.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U06,COD,14.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U06,NH3-N,2.88,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U06,NH3-N,3.31,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U06,TN,9.34,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U06,TN,9.57,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U06,TP,0.17,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U06,TP,0.18,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U08,BOD,2.9,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U08,BOD,1.8,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U08,COD,10.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U08,COD,10.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U08,NH3-N,2.45,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U08,NH3-N,0.275,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U08,TN,8.28,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U08,TN,5.74,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U08,TP,0.14,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U08,TP,0.13,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U09,BOD,1.8,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U09,BOD,0.5,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U09,COD,8.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U09,COD,6.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U09,NH3-N,2.9,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U09,NH3-N,2.92,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U09,TN,7.97,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U09,TN,8.43,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U09,TP,0.11,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U09,TP,0.11,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U11,BOD,1.5,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U11,BOD,2.1,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U11,COD,8.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U11,COD,16.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U11,NH3-N,2.29,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U11,NH3-N,2.55,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U11,TN,8.82,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U11,TN,8.76,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U11,TP,0.15,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U11,TP,0.15,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U12,BOD,3.9,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U12,BOD,3.5,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U12,COD,12.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U12,COD,11.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U12,NH3-N,2.15,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U12,NH3-N,2.58,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U12,TN,8.37,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U12,TN,9.48,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U12,TP,0.16,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U12,TP,0.16,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U13,BOD,3.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U13,BOD,1.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U13,COD,10.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U13,COD,10.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U13,NH3-N,2.35,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U13,NH3-N,0.037,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U13,TN,9.75,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U13,TN,4.33,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U13,TP,0.17,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U13,TP,0.04,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U15,BOD,1.8,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U15,BOD,0.9,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U15,COD,8.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U15,COD,6.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U15,NH3-N,1.43,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U15,NH3-N,1.36,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U15,TN,7.7,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U15,TN,5.9,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U15,TP,0.12,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U15,TP,0.11,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U16,BOD,3.3,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U16,BOD,1.4,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U16,COD,10.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U16,COD,5.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U16,NH3-N,1.34,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U16,NH3-N,1.06,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U16,TN,7.77,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U16,TN,7.17,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U16,TP,0.12,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U16,TP,0.1,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U17,BOD,1.8,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U17,COD,8.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U17,NH3-N,1.6,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U17,TN,8.22,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U17,TP,0.08,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U18,BOD,3.4,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U18,BOD,1.7,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U18,COD,8.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U18,COD,16.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U18,NH3-N,2.12,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U18,NH3-N,2.29,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U18,TN,7.76,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U18,TN,7.46,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U18,TP,0.14,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U18,TP,0.12,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U21,BOD,3.6,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U21,BOD,3.2,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U21,COD,12.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U21,COD,18.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U21,NH3-N,1.55,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U21,NH3-N,1.65,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U21,TN,8.53,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U21,TN,8.88,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U21,TP,0.13,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U21,TP,0.13,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U22,BOD,0.9,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U22,BOD,0.9,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U22,COD,8.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U22,COD,4.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U22,NH3-N,0.357,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U22,NH3-N,0.8,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U22,TN,5.8,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U22,TN,6.81,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U22,TP,0.13,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U22,TP,0.11,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U23,BOD,2.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U23,BOD,1.2,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U23,COD,6.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U23,COD,7.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U23,NH3-N,0.476,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U23,NH3-N,0.65,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U23,TN,6.63,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U23,TN,5.16,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U23,TP,0.11,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U23,TP,0.09,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U24,BOD,1.8,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U24,COD,11.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U24,NH3-N,0.919,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U24,TN,8.08,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U24,TP,0.06,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U25,BOD,4.6,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U25,BOD,2.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U25,COD,29.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U25,COD,10.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U25,NH3-N,0.655,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U25,NH3-N,0.909,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U25,TN,7.02,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U25,TN,7.35,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U25,TP,0.09,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U25,TP,0.1,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U29,BOD,1.7,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U29,BOD,0.8,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U29,COD,8.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U29,COD,6.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U29,NH3-N,0.051,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U29,NH3-N,0.048,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U29,TN,5.26,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U29,TN,5.3,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U29,TP,0.03,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U29,TP,0.02,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U30,BOD,1.1,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U30,BOD,1.2,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U30,COD,7.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U30,COD,7.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U30,NH3-N,0.056,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U30,NH3-N,0.064,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U30,TN,5.41,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U30,TN,5.8,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U30,TP,0.09,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U30,TP,0.08,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U31,BOD,1.2,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U31,COD,10.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U31,NH3-N,0.204,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U31,TN,7.87,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U31,TP,0.06,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U32,BOD,0.5,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U32,BOD,0.6,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U32,COD,8.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U32,COD,9.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U32,NH3-N,0.225,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U32,NH3-N,0.183,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U32,TN,5.82,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U32,TN,7.68,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U32,TP,0.08,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U32,TP,0.08,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U33,BOD,1.3,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U33,BOD,2.4,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U33,COD,7.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U33,COD,7.0,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U33,NH3-N,0.819,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U33,NH3-N,0.914,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U33,TN,5.82,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U33,TN,6.73,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U33,TP,0.08,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U33,TP,0.08,,mg/L,常贺星硕士论文数据
2018-02-01,G2-U35,BOD,3.5,,mg/L,常贺星硕士论文数据
